TeamSymbol,ESPN_Ranking
ARI,"[10, 20, 21, 21, 21, 24, 17, 28, 28, 23, 25]"
ATL,"[2, 7, 1, 1, 3, 3, 7, 12, 13, 17, 11]"
BAL,"[21, 14, 10, 18, 22, 18, 22, 25, 23, 20, 20]"
BUF,"[26, 27, 26, 15, 15, 16, 18, 15, 11, 15, 16]"
CAR,"[16, 11, 13, 22, 13, 6, 6, 19, 12, 11, 10]"
CHI,"[29, 28, 27, 23, 28, 30, 28, 24, 27, 27, 28]"
CIN,"[22, 25, 28, 25, 23, 21, 23, 26, 20, 25, 27]"
CLE,"[30, 30, 29, 32, 32, 32, 32, 32, 32, 32, 32]"
DAL,"[6, 5, 8, 9, 12, 9, 12, 5, 7, 8, 13]"
DEN,"[9, 15, 7, 5, 4, 7, 8, 17, 17, 21, 22]"
DET,"[19, 10, 12, 8, 9, 14, 15, 16, 15, 16, 14]"
GB,"[5, 2, 6, 4, 2, 2, 16, 22, 16, 18, 17]"
HOU,"[14, 26, 20, 17, 10, 17, 11, 9, 10, 24, 21]"
IND,"[18, 31, 30, 30, 31, 27, 29, 30, 29, 29, 29]"
JAX,"[28, 21, 25, 20, 24, 12, 19, 13, 14, 10, 9]"
KC,"[8, 3, 2, 2, 1, 1, 1, 3, 3, 5, 5]"
LAC,"[24, 22, 24, 27, 25, 28, 24, 18, 22, 19, 19]"
LAR,"[27, 18, 22, 16, 16, 11, 9, 7, 8, 7, 7]"
MIA,"[25, 23, 18, 26, 27, 26, 26, 20, 25, 26, 26]"
MIN,"[17, 12, 16, 11, 17, 20, 13, 8, 5, 4, 6]"
NE,"[1, 4, 4, 3, 7, 5, 3, 1, 2, 2, 2]"
NO,"[23, 19, 23, 24, 20, 22, 14, 14, 9, 9, 3]"
NYG,"[11, 17, 19, 28, 30, 31, 30, 29, 30, 30, 30]"
NYJ,"[32, 32, 32, 31, 26, 25, 27, 27, 26, 22, 24]"
OAK,"[7, 6, 5, 7, 11, 15, 20, 10, 21, 12, 15]"
PHI,"[15, 9, 15, 13, 8, 4, 2, 2, 1, 1, 1]"
PIT,"[4, 1, 3, 6, 5, 10, 4, 4, 4, 3, 4]"
SF,"[31, 29, 31, 29, 29, 29, 31, 31, 31, 31, 31]"
SEA,"[3, 8, 9, 12, 6, 8, 5, 6, 6, 6, 8]"
TB,"[13, 13, 11, 19, 18, 19, 25, 23, 24, 28, 23]"
TEN,"[12, 16, 14, 10, 19, 23, 21, 21, 19, 14, 12]"
WAS,"[20, 24, 17, 14, 14, 13, 10, 11, 18, 13, 18]"
